Team,xG,xGA
Paris Saint Germain,44.60,15.59
Lens,31.81,19.40
Marseille,32.38,18.85
Rennes,30.83,18.69
Monaco,28.33,26.99
Lorient,24.17,27.92
Lille,30.51,20.76
Lyon,30.05,21.57
Clermont Foot,19.24,32.96
Reims,26.82,27.72
Nice,22.04,20.86
Toulouse,24.41,30.66
Troyes,21.72,31.99
Montpellier,21.09,30.82
Nantes,21.35,27.68
Ajaccio,18.07,22.12
Brest,20.11,27.56
Auxerre,15.95,30.47
Strasbourg,23.93,29.62
Angers,24.58,29.76
