Team,G,GA
Paris Saint Germain,46,13
Lens,29,11
Marseille,34,15
Rennes,34,18
Monaco,33,23
Lorient,28,24
Lille,30,24
Lyon,27,21
Clermont Foot,20,25
Reims,20,23
Nice,16,19
Toulouse,23,33
Troyes,29,33
Montpellier,27,31
Nantes,18,24
Ajaccio,15,26
Brest,18,33
Auxerre,16,35
Strasbourg,20,31
Angers,16,37
