Team,xG,xGA
Barcelona,39.69,10.68
Real Madrid,33.71,15.41
Real Sociedad,25.93,14.84
Atletico Madrid,22.58,17.79
Athletic Club,25.25,11.32
Real Betis,20.88,19.05
Villarreal,21.57,18.38
Rayo Vallecano,18.51,20.63
Osasuna,19.92,17.55
Valencia,24.54,18.97
Mallorca,16.71,16.19
Girona,22.13,20.36
Almeria,16.24,27.34
Getafe,11.99,18.54
Real Valladolid,15.88,25.08
Espanyol,18.63,21.32
Celta Vigo,14.64,18.10
Sevilla,15.26,28.32
Cadiz,13.22,31.57
Elche,10.25,36.11
