Team,xG,xGA
Arsenal,35.62,14.95
Manchester City,37.27,13.84
Newcastle United,33.94,19.25
Manchester United,29.41,19.09
Tottenham,27.54,21.54
Liverpool,37.22,27.75
Fulham,27.04,35.18
Brighton,29.57,22.17
Brentford,29.32,26.76
Chelsea,20.10,23.29
Crystal Palace,17.47,23.86
Aston Villa,20.26,25.41
Leicester,18.87,26.20
Leeds,22.31,29.23
Bournemouth,15.34,32.05
Everton,18.69,31.47
West Ham,21.76,20.93
Nottingham Forest,16.99,30.23
Wolverhampton Wanderers,16.03,24.45
Southampton,18.56,25.65
