Team,xG,xGA
Arsenal,35.62,14.95
Manchester City,38.99,14.34
Newcastle United,33.94,19.25
Manchester United,29.41,19.09
Tottenham,29.21,22.32
Liverpool,37.22,27.75
Fulham,27.04,35.18
Brighton,29.57,22.17
Brentford,29.32,26.76
Chelsea,20.59,25.01
Aston Villa,21.30,26.25
Crystal Palace,18.26,25.52
Leicester,18.87,26.20
Leeds,23.57,30.52
Nottingham Forest,18.21,30.86
Bournemouth,15.34,32.05
West Ham,23.05,22.19
Everton,18.69,31.47
Wolverhampton Wanderers,16.87,25.49
Southampton,19.19,26.87
