Team,G,GA
Arsenal,40,14
Manchester City,44,16
Newcastle United,32,11
Manchester United,27,20
Tottenham,37,25
Liverpool,34,22
Fulham,30,27
Brighton,32,25
Brentford,30,28
Chelsea,20,18
Aston Villa,20,26
Crystal Palace,17,25
Leicester,26,31
Leeds,25,31
Nottingham Forest,13,34
Bournemouth,18,39
West Ham,15,24
Everton,14,24
Wolverhampton Wanderers,11,27
Southampton,15,33
