Team,G,GA
Bayern Munich,49,13
Freiburg,25,17
RasenBallsport Leipzig,30,21
Eintracht Frankfurt,32,24
Union Berlin,24,20
Borussia Dortmund,25,21
Wolfsburg,24,20
Borussia M.Gladbach,28,24
Werder Bremen,25,27
Mainz 05,19,24
Hoffenheim,22,22
Bayer Leverkusen,25,26
FC Cologne,21,29
Augsburg,18,26
Hertha Berlin,19,22
VfB Stuttgart,18,27
Bochum,14,36
Schalke 04,13,32
