Team,G,GA
Napoli,37,12
AC Milan,31,16
Juventus,24,7
Lazio,26,11
Inter,34,22
Atalanta,24,17
Roma,18,14
Udinese,24,17
Torino,17,18
Fiorentina,18,20
Bologna,20,25
Salernitana,20,26
Empoli,12,19
Monza,16,22
Sassuolo,16,24
Lecce,14,17
Spezia,16,28
Sampdoria,8,28
Cremonese,11,26
Verona,13,30
