Team,G,GA
Napoli,37,13
AC Milan,31,16
Juventus,25,7
Inter,35,22
Lazio,27,13
Roma,19,14
Atalanta,24,17
Udinese,25,18
Torino,17,18
Fiorentina,19,21
Bologna,20,26
Lecce,16,18
Empoli,13,20
Salernitana,20,26
Monza,17,23
Sassuolo,16,24
Spezia,16,28
Sampdoria,8,28
Cremonese,11,27
Verona,13,30
