Team,xG,xGA
Napoli,38.06,15.53
Juventus,27.74,17.28
AC Milan,34.04,16.88
Inter,33.94,17.61
Lazio,22.85,19.26
Atalanta,28.38,18.89
Roma,33.68,11.77
Udinese,21.44,20.58
Fiorentina,25.08,24.22
Torino,20.81,20.43
Lecce,15.74,21.22
Bologna,19.61,27.71
Empoli,16.27,30.45
Salernitana,18.66,34.23
Monza,18.86,26.01
Sassuolo,21.43,24.81
Spezia,16.85,30.75
Verona,19.88,24.06
Sampdoria,12.91,27.91
Cremonese,18.00,34.64
