Team,xG,xGA
Napoli,33.55,13.68
AC Milan,32.94,15.77
Juventus,23.53,16.27
Lazio,20.83,17.48
Inter,30.86,15.10
Atalanta,27.70,18.50
Roma,30.50,9.93-
Udinese,19.82,17.32
Torino,18.43,19.85
Fiorentina,20.51,20.93
Bologna,18.47,24.95
Salernitana,18.08,31.86
Empoli,15.01,27.82
Monza,15.90,22.91
Sassuolo,19.68,21.72
Lecce,13.61,19.85
Spezia,16.20,29.79
Sampdoria,12.53,24.50
Cremonese,16.49,31.10
Verona,17.95,23.25
